IMG_20210325_145117 2150,1458 705.0453886098397
IMG_20210325_144559 2296,1574 785.0159234053791
IMG_20210325_145207 2100,1360 737.0027136992102
IMG_20210325_143444 2533,1537 480.0374985352707
IMG_20210325_143847 2317,1374 575.0426071170726
IMG_20210325_143658 2086,1474 759.6170087616522
IMG_20210325_144435 2190,1501 849.8499867623698
IMG_20210325_144223 2492,1651 589.0543268663765
IMG_20210325_144950 2175,1501 751.990691431749
IMG_20210325_143552 1994,1256 605.298273580885
IMG_20210325_144542 2454,1574 670.0186564566691
IMG_20210325_143906 2446,1516 754.1631123304825
IMG_20210325_145102 2361,1514 668.5454360026699
IMG_20210325_143736 2336,1789 668.0269455643238
IMG_20210325_143841 2693,1810 595.1646830919993
IMG_20210325_143612 2386,1541 620.0008064510885
IMG_20210325_144033 1871,1633 591.121814857141
IMG_20210325_144040 1973,1470 643.2246885809033
IMG_20210325_144818 2159,1499 800.5629269457836
IMG_20210325_145147 1545,1258 776.6414874316206
IMG_20210325_143650 1846,1439 755.6460811782193
IMG_20210325_144810 2040,1439 635.8152247312107
IMG_20210325_144337 2055,1566 800.6003997001251
IMG_20210325_143452 2075,1631 674.3723007360252
IMG_20210325_144324 1859,1352 827.9402152329599
IMG_20210325_144521 1699,1439 814.4476655992084
IMG_20210325_144748 2055,1273 772.3341245859851
IMG_20210325_144756 2182,1583 722.3323334864639
IMG_20210325_145016 2648,1578 871.4975616718615
IMG_20210325_144641 1607,1895 730.9733237266597
IMG_20210325_144315 2123,1739 701.1604666551017
IMG_20210325_144402 1759,1393 697.2072862499358
IMG_20210325_143602 1988,1772 830.0289151589841
IMG_20210325_144508 2192,1728 674.4101126169447
IMG_20210325_143758 2188,1710 473.42264415636055
IMG_20210325_144021 1978,1293 614.723515086254
IMG_20210325_144926 2115,1491 655.7758763480097
IMG_20210325_144245 2136,1620 574.0104528664962
IMG_20210325_145021 2546,1324 803.098997633542
IMG_20210325_144608 2544,1474 738.0433591598803
IMG_20210325_145249 2602,1289 739.5221430085782
IMG_20210325_144259 2490,1350 797.602657969493
IMG_20210325_144847 2462,1216 690.2615446336265
IMG_20210325_145005 1813,1422 831.3759678990006
IMG_20210325_145259 2308,1454 722.7516862657603
IMG_20210325_144008 2001,1487 661.6358515074587
IMG_20210325_144902 2186,1553 799.8106025803859
IMG_20210325_145156 2217,1131 799.0319142562455
IMG_20210325_143726 2180,1553 797.0476773694281
IMG_20210325_145036 2367,1324 793.4588836228378
IMG_20210325_144744 2194,1612 679.7072899417808
IMG_20210325_145125 2481,1306 720.6670521121387
IMG_20210325_145142 1890,1622 677.5632811774854
IMG_20210325_144959 2537,1645 746.4187832577634
IMG_20210325_144423 2098,1528 890.9736247499137
IMG_20210325_145217 2281,1616 777.2284091565361
IMG_20210325_143956 2356,1479 722.4326958270923
IMG_20210325_143517 2030,1776 645.6105637301794
IMG_20210325_143719 2454,1131 650.902450448606
IMG_20210325_143418 2554,1460 540.3156484870673
IMG_20210325_144446 1763,1210 739.7959178043632
IMG_20210325_144353 2519,1554 743.6733153744324
IMG_20210325_145239 1647,1385 749.0
IMG_20210325_145111 2646,1416 765.5435977134157
IMG_20210325_144853 2173,1397 891.7583753461472
IMG_20210325_143634 2646,1526 726.3036555050511
IMG_20210325_144305 2026,1447 720.1472071736445
IMG_20210325_144649 2375,1604 781.8145560169623
IMG_20210325_143748 2030,1793 620.762434430435
IMG_20210325_144836 1886,1264 884.8977342043543
IMG_20210325_144935 2554,1397 648.315509609326
IMG_20210325_145133 2743,1551 802.7515182171878
IMG_20210325_143857 2589,1541 701.1419257183242
IMG_20210325_144828 2533,1541 725.9593652540065
IMG_20210325_143619 2115,1227 750.3312601777964
IMG_20210325_143823 2544,1782 507.0276126602968
IMG_20210325_144614 2381,1487 768.9245736741674
IMG_20210325_144251 1786,1703 786.8068377943852
IMG_20210325_144726 2150,1545 711.6523027434114
IMG_20210325_143947 2265,1859 685.3765388456188
IMG_20210325_143541 2096,1477 688.3966879641418
IMG_20210325_143504 2034,1366 647.9027704833496
IMG_20210325_143641 2483,1603 626.6737588251162
IMG_20210325_144715 2028,1807 636.5924913160695
IMG_20210325_144550 2375,1676 771.2976079309465
IMG_20210325_144910 1865,1197 814.5655283646614
IMG_20210325_145043 2502,1260 781.0537753573693
IMG_20210325_143433 2019,1818 685.6128645234131
IMG_20210325_144229 1961,1556 761.2056226802322
IMG_20210325_143533 2194,1225 833.2544629343428
IMG_20210325_145230 2290,1200 817.5108561970294
IMG_20210325_144536 2444,1599 754.0212198605553
IMG_20210325_144802 1978,1096 741.3123498229339
IMG_20210325_144710 2250,1454 771.1666486564367
IMG_20210325_144736 1745,1880 781.8669963619132
IMG_20210325_145028 2583,1464 834.1702464125653
IMG_20210325_144921 2594,1366 813.1820214441536
IMG_20210325_144413 1774,1476 883.3051567833169
